"Year"," Month","Temperature"
2002,6,20.44
2002,7,21.72903226
2002,8,20.43548387
2002,9,14.58
2002,10,9.770967742
2002,11,7.663333333
2002,12,-0.525806452
2003,1,-2.458064516
2003,2,-2.171428571
2003,3,5.629032258
2003,4,9.353333333
2003,5,17.62580645
2003,6,22.01
2003,7,21.5516129
2003,8,23.46774194
2003,9,15.12
2003,10,7.722580645
2003,11,6.32
2003,12,0.103225806
2004,1,-2.190322581
2004,2,1.231034483
2004,3,3.796774194
2004,4,10.75666667
2004,5,13.04516129
2004,6,17.26333333
2004,7,19.40967742
2004,8,19.78064516
2004,9,15.02
2004,10,11.38387097
2004,11,4.713333333
2004,12,0.216129032
2005,1,-0.45483871
2005,2,-2.896428571
2005,3,2.803225806
2005,4,10.78333333
2005,5,15.71290323
2005,6,18.37333333
2005,7,19.81935484
2005,8,17.78709677
2005,9,15.74666667
2005,10,10.40322581
2005,11,3.336666667
2005,12,0.083870968
2006,1,-4.038709677
2006,2,-0.35
2006,3,3.574193548
2006,4,11.15
2006,5,14.52258065
2006,6,18.79
2006,7,22.49354839
2006,8,17.57419355
2006,9,16.72333333
2006,10,11.79032258
2006,11,6.23
2006,12,2.638709677
2007,1,3.425806452
2007,2,4.910714286
2007,3,7.348387097
2007,4,12.65
2007,5,16.88064516
2007,6,21.05333333
2007,7,22.17419355
2007,8,20.58387097
2007,9,13.74333333
2007,10,9.187096774
