,"r","js"
"786",333.7163,333.7996
"787",277.6961,277.7655
"788",231.0803,231.1378
"789",192.2895,192.3372
"790",160.0104,160.05
"791",133.1499,133.1827
"792",110.7982,110.8257
"793",92.1988,92.22189
"794",142.1836,142.2269
"795",230.8327,230.9102
"796",360.594,360.7199
"797",541.704,541.8919
"798",803.4427,804.2682
"799",1135.183,1136.189
"800",1532.549,1533.645
"801",1977.922,1979.033
"802",2443.395,2444.376
"803",2904.339,2905.261
"804",3329.156,3330.01
"805",3691.047,3691.829
"806",3975.006,3975.711
"807",4177.322,4177.959
"808",4303.38,4303.962
"809",4362.954,4363.49
"810",4367.345,4367.846
"811",4336.378,4336.644
"812",4294.079,4294.414
"813",4235.39,4235.753
"814",4161.292,4161.668
"815",4076.383,4076.662
"816",3996.932,3997.246
"817",3932.62,3932.98
"818",3885.894,3886.305
"819",3856.827,3857.285
"820",3831.009,3831.508
"821",3789.114,3789.65
"822",3724.415,3724.979
"823",3630.918,3631.501
"824",3501.314,3501.974
"825",3324.251,3324.899
"826",3066.995,3067.613
"827",2747.914,2748.483
"828",2413.657,2414.053
"829",2102.062,2102.423
"830",1825.854,1826.181
"831",1543.348,1543.627
"832",1284.27,1284.502
"833",1068.683,1068.877
"834",889.2857,889.4472
"835",740.0041,740.138
"836",615.7809,615.893
"837",512.4112,512.5048
"838",426.3945,426.472
"839",422.0032,422.0905
"840",417.1449,417.2399
"841",412.9104,412.9948
"842",412.6291,412.7244
"843",418.3526,418.4578
"844",430.4125,430.5287
"845",448.0829,448.2112
"846",479.2379,479.3805
"847",533.691,533.8558
"848",645.1978,645.3966
"849",865.2277,865.4797
"850",1224.728,1225.205
"851",1696.901,1697.472
"852",2230.519,2231.148
"853",2766.57,2767.223
"854",3254.883,3255.535
"855",3663.021,3663.647
"856",3977.072,3977.661
"857",4196.965,4197.512
"858",4330.989,4331.494
"859",4397.659,4398.134
"860",4414.916,4415.376
"861",4394.026,4394.48
"862",4345.905,4346.359
"863",4282.692,4283.095
"864",4216.478,4216.907
"865",4151.298,4151.738
"866",4091.918,4092.366
"867",4042.833,4043.283
"868",4002.171,4002.654
"869",3958.265,3958.753
"870",3901.654,3902.142
"871",3822.271,3822.758
"872",3720.618,3721.106
"873",3600.643,3601.132
"874",3455.072,3455.558
"875",3273.382,3273.855
"876",3022.123,3022.675
"877",2712.836,2713.35
"878",2387.319,2387.785
"879",2076.37,2076.784
"880",1771.89,1771.998
"881",1474.448,1474.537
"882",1226.936,1227.011
"883",1020.973,1021.035
"884",849.5845,849.6362
"885",706.9661,707.0095
"886",588.2896,588.3267
"887",489.5349,489.5656
"888",407.3581,407.3834
"889",338.9759,338.9964
"890",282.0727,282.0897
"891",234.7218,234.7358
"892",195.3195,195.3314
"893",162.5322,162.5418
"894",198.2648,198.3
"895",234.4572,234.5159
"896",268.0192,268.099
"897",301.8356,301.9362
"898",344.9449,345.0676
"899",405.4535,405.6051
"900",481.7138,481.8986
"901",600.8802,601.1064
"902",812.7805,813.0414
"903",1160.048,1160.367
"904",1643.965,1644.348
"905",2217.778,2218.218
"906",2807.844,2808.409
"907",3341.542,3342.105
"908",3782.363,3782.897
"909",4119.619,4120.109
"910",4357.057,4357.502
"911",4511.988,4512.396
"912",4603.927,4604.31
"913",4645.872,4646.241
"914",4649.59,4649.952
"915",4626.68,4627.008
"916",4588.404,4588.744
"917",4540.898,4541.246
"918",4489.966,4490.322
"919",4441.114,4441.443
"920",4397.61,4397.969
"921",4353.611,4353.979
"922",4304.62,4304.992
"923",4246.377,4246.753
"924",4178.099,4178.483
"925",4099.602,4099.99
"926",4005.123,4005.516
"927",3887.972,3888.37
"928",3739.281,3739.761
"929",3533.967,3534.44
"930",3245.559,3246.005
"931",2908.066,2908.477
"932",2561.507,2561.823
"933",2235.528,2235.814
"934",1944.92,1945.178
"935",1631.17,1631.382
"936",1357.35,1357.526
